章节,出现次数,诗人
第一出,4,王实辅
第二出,1,张窈窕
第二出,1,曹松
第二出,1,韩偓
第二出,1,王昌龄
第三出,1,苗发
第三出,1,王建
第三出,1,柳宗元
第三出,1,刘禹锡
第四出,1,韩愈
第四出,1,朱庆余
第四出,1,曹唐
第四出,1,李商隐
第五出,1,钱起
第五出,1,柳宗元
第五出,1,杜甫
第五出,1,薛能
第六出,1,皮日休
第六出,1,章碣
第六出,1,段成式
第六出,1,李商隐
第七出,1,赵嘏
第七出,1,李山甫
第七出,1,张泌
第七出,1,张祜
第八出,1,羊士谔
第八出,1,张继
第八出,1,薛能
第八出,1,杜甫
第九出,1,陈陶
第九出,1,韦应物
第九出,1,崔日用
第九出,1,杜甫
第十出,1,罗隐
第十出,1,许浑
第十出,1,张说
第十出,1,韦庄
第十一出,1,苏广文
第十一出,1,唐彦谦
第十一出,1,郑谷
第十一出,1,段成武
第十二出,1,释皎然
第十二出,1,韦庄
第十三出,1,陆龟蒙
第十三出,1,杜甫
第十四出,1,罗虬
第十四出,1,韩偓
第十四出,1,崔道融
第十四出,1,韦庄
第十五出,1,司空图
第十五出,1,王建
第十五出,1,张祜
第十五出,1,谭峭
第十六出,1,刘长卿
第十六出,1,张籍
第十六出,1,李绅
第十六出,1,项斯
第十九出,1,王维
第十九出,1,曹唐
第二十出,1,张籍
第二十出,1,李白
第二十出,1,朱褒
第二十出,1,曹唐
第二十一出,1,司空图
第二十一出,1,刘长卿
第二十一出,1,李白
第二十一出,1,张南史
第二十二出,1,白居易
第二十二出,1,罗隐
第二十二出,1,王维
第二十二出,1,薛据
第二十三出,1,元稹
第二十三出,1,罗邺
第二十三出,1,许浑
第二十三出,1,李商隐
第二十五出,1,廉氏
第二十五出,1,徐凝
第二十五出,1,温庭筠
第二十五出,1,杜甫
第二十六出,1,司空图
第二十六出,1,章碣
第二十六出,1,白居易
第二十六出,1,伍乔
第二十七出,1,天竺牧童
第二十七出,1,罗邺
第二十七出,1,曹唐
第二十七出,1,罗虬
第二十八出,1,韩愈
第二十八出,1,李白
第二十八出,1,张子容
第二十八出,1,李商隐
第二十九出,1,岑参
第二十九出,1,僧子兰
第三十出,1,曹松
第三十出,1,罗隐
第三十出,1,胡宿
第三十出,1,顾况
第三十一出,1,杜牧
第三十一出,2,谭用之
第三十一出,1,钱起
第三十二出,1,熊孺登
第三十二出,1,韦氏子
第三十二出,1,刘言史
第三十二出,1,李商隐
第三十三出,1,陈羽
第三十三出,1,刘长卿
第三十三出,1,崔鲁
第三十三出,1,雍陶
第三十四出,1,韩愈
第三十四出,1,于鹄
第三十四出,1,韩偓
第三十四出,1,王建
第三十五出,1,罗隐
第三十五出,1,景舜英
第三十五出,1,潘雍
第三十五出,1,张祜
第三十六出,1,张蠙
第三十六出,1,吴融
第三十六出,1,戴叔伦
第三十六出,1,陆龟蒙
第三十七出,2,韩愈
第三十七出,1,白居易
第三十七出,1,僧子兰
第三十八出,1,王昌龄
第三十八出,1,司空图
第三十八出,1,张建封
第三十八出,1,曹唐
第三十九出,1,刘氏
第三十九出,1,李端
第三十九出,1,杜审言
第三十九出,1,杜甫
第四十出,1,于鹄
第四十出,1,柳宗元
第四十出,1,王维
第四十出,1,朱湾
第四十一出,1,曹松
第四十一出,1,钱起
第四十一出,1,杜牧
第四十一出,1,杜甫
第四十二出,1,吴融
第四十二出,1,薛涛
第四十二出,1,罗邺
第四十二出,1,韩偓
第四十三出,1,陈陶
第四十三出,1,陈标
第四十三出,1,张籍
第四十三出,1,曹唐
第四十四出,1,章孝标
第四十四出,1,元稹
第四十四出,1,刘商
第四十四出,1,杜甫
第四十五出,1,李山甫
第四十五出,1,常建
第四十五出,1,李白
第四十五出,1,刘禹锡
第四十六出,2,刘长卿
第四十六出,1,卢纶
第四十六出,1,王建
第四十七出,1,杜牧
第四十七出,1,常建
第四十七出,1,许浑
第四十七出,1,窦巩
第四十八出,1,欧阳詹
第四十八出,1,薛逢
第四十八出,1,许浑
第四十八出,1,白居易
第四十九出,1,韩愈
第四十九出,1,刘长卿
第四十九出,1,王遵
第四十九出,1,韦洵美
第五十出,1,张乔
第五十出,1,李绅
第五十出,1,韩偓
第五十出,1,耿湋
第五十一出,1,韩愈
第五十一出,1,元稹
第五十一出,1,王建
第五十一出,1,郑畋
第五十二出,1,杜甫
第五十二出,1,韦庄
第五十二出,1,郑谷
第五十二出,1,张曙
第五十三出,1,司空图
第五十三出,1,殷文圭
第五十三出,1,白居易
第五十三出,1,陆龟蒙
第五十五出,1,刘禹锡
第五十五出,1,李商隐
第五十五出,1,元稹
第五十五出,1,韦应物
第五十五出,1,韦庄
第五十五出,1,僧无则
第五十五出,1,郑琼罗
第五十五出,1,白居易
